[2026-08-27T23:34:21.063Z] GET file:///C:/Users/PC-1/Desktop/Web%20Olympic/mejorado/index.html → 200 (3ms, 9357B)
[2026-08-27T23:34:21.071Z] GET https://fonts.googleapis.com/css2?family=Barlow+Condensed:wght@600;700;900&family=Work+Sans:wght@400;500;600;700&family=JetBrains+Mono:wght@500;700&display=swap → pending (?ms, ?B)
[2026-08-27T23:34:21.071Z] GET file:///C:/Users/PC-1/Desktop/Web%20Olympic/css/style.css → 200 (?ms, 22291B)
[2026-08-27T23:34:21.071Z] GET file:///C:/Users/PC-1/Desktop/Web%20Olympic/mejorado/css/mejorado.css → 200 (?ms, 1108B)
[2026-08-27T23:34:21.071Z] GET file:///C:/Users/PC-1/Desktop/Web%20Olympic/assets/images/logo.png → 200 (2ms, 6672B)
[2026-08-27T23:34:21.071Z] GET https://unpkg.com/lenis@1.1.14/dist/lenis.min.js → pending (?ms, ?B)
[2026-08-27T23:34:21.071Z] GET file:///C:/Users/PC-1/Desktop/Web%20Olympic/mejorado/js/main.js → 200 (4ms, 4657B)
[2026-08-27T23:34:23.957Z] GET file:///C:/Users/PC-1/Desktop/Web%20Olympic/assets/images/bobs_Nave1.jpg → 200 (?ms, 158903B)
[2026-08-27T23:34:23.957Z] GET https://fonts.gstatic.com/s/barlowcondensed/v13/HTxwL3I-JCGChYJ8VI-L6OO_au7B45L0z3bWuQ.woff2 → 200 (109ms, 22095B)
[2026-08-27T23:34:23.957Z] GET https://fonts.gstatic.com/s/worksans/v24/QGYsz_wNahGAdqQ43Rh_fKDp.woff2 → 200 (127ms, 50874B)
[2026-08-27T23:34:23.957Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwg.woff2 → 200 (107ms, 31559B)
[2026-08-27T23:34:43.346Z] GET file:///C:/Users/PC-1/Desktop/Web%20Olympic/mejorado/contacto.html → 200 (1ms, 9649B)
[2026-08-27T23:34:43.352Z] GET https://fonts.googleapis.com/css2?family=Barlow+Condensed:wght@600;700;900&family=Work+Sans:wght@400;500;600;700&family=JetBrains+Mono:wght@500;700&display=swap → 200 (7ms, -698B)
[2026-08-27T23:34:43.353Z] GET file:///C:/Users/PC-1/Desktop/Web%20Olympic/css/style.css → 200 (?ms, 22291B)
[2026-08-27T23:34:43.353Z] GET file:///C:/Users/PC-1/Desktop/Web%20Olympic/mejorado/css/mejorado.css → 200 (?ms, 1108B)
[2026-08-27T23:34:43.353Z] GET file:///C:/Users/PC-1/Desktop/Web%20Olympic/assets/images/logo.png → 200 (2ms, 6672B)
[2026-08-27T23:34:43.353Z] GET https://unpkg.com/lenis@1.1.14/dist/lenis.min.js → 200 (7ms, -752B)
[2026-08-27T23:34:43.353Z] GET file:///C:/Users/PC-1/Desktop/Web%20Olympic/mejorado/js/main.js → 200 (7ms, 4657B)
[2026-08-27T23:34:43.386Z] GET https://fonts.gstatic.com/s/barlowcondensed/v13/HTxwL3I-JCGChYJ8VI-L6OO_au7B45L0z3bWuQ.woff2 → 200 (1ms, -815B)
[2026-08-27T23:34:43.386Z] GET https://fonts.gstatic.com/s/worksans/v24/QGYsz_wNahGAdqQ43Rh_fKDp.woff2 → 200 (1ms, -813B)
[2026-08-27T23:34:43.387Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwg.woff2 → 200 (1ms, -815B)
[2026-08-27T23:34:43.387Z] GET https://fonts.gstatic.com/s/barlowcondensed/v13/HTxwL3I-JCGChYJ8VI-L6OO_au7B46r2z3bWuQ.woff2 → 200 (30ms, 22570B)
[2026-08-27T23:34:43.417Z] GET https://www.google.com/maps?q=Parque+Industrial+Metropolitano,+Av.+Las+Palmeras+1452,+P%C3%A9rez,+Santa+Fe,+Argentina&output=embed → 301 (169ms, ?B)
[2026-08-27T23:34:43.586Z] GET https://www.google.com/maps/embed?origin=mfe&pb=!1m2!2m1!1sParque+Industrial+Metropolitano,+Av.+Las+Palmeras+1452,+P%C3%A9rez,+Santa+Fe,+Argentina → pending (?ms, ?B)
[2026-08-27T23:34:43.989Z] GET https://maps.gstatic.com/maps-api-v3/embed/js/66/2d/init_embed.js → 200 (105ms, 76715B)
[2026-08-27T23:34:43.989Z] GET https://maps.googleapis.com/maps/api/js?key=AIzaSyCmL18misQw9KdwqGaw3zHkitj8vG6QF2Y&paint_origin=&libraries=geometry,search&v=weekly&loading=async&language=en_US&experimentation=allowed&callback=onApiLoad → 200 (134ms, 3020B)
[2026-08-27T23:34:44.127Z] GET https://maps.googleapis.com/maps-api-v3/api/js/66/2d/geometry.js → 200 (26ms, 2617B)
[2026-08-27T23:34:44.127Z] GET https://maps.googleapis.com/maps-api-v3/api/js/66/2d/search.js → 200 (25ms, 1175B)
[2026-08-27T23:34:44.127Z] GET https://maps.googleapis.com/maps-api-v3/api/js/66/2d/main.js → 200 (41ms, 85540B)
[2026-08-27T23:34:44.211Z] GET https://maps.googleapis.com/maps/api/mapsjs/gen_204?csp_test=true → 200 (125ms, 46B)
[2026-08-27T23:34:44.239Z] GET https://maps.googleapis.com/maps-api-v3/api/js/66/2d/common.js → 200 (39ms, 38193B)
[2026-08-27T23:34:44.239Z] GET https://maps.googleapis.com/maps-api-v3/api/js/66/2d/util.js → 200 (56ms, 72562B)
[2026-08-27T23:34:44.239Z] GET https://maps.googleapis.com/maps-api-v3/api/js/66/2d/map.js → 200 (52ms, 25808B)
[2026-08-27T23:34:44.240Z] GET https://maps.googleapis.com/maps-api-v3/api/js/66/2d/controls.js → 200 (52ms, 26474B)
[2026-08-27T23:34:44.240Z] GET https://maps.googleapis.com/maps-api-v3/api/js/66/2d/places_impl.js → 200 (33ms, 3647B)
[2026-08-27T23:34:44.240Z] GET https://maps.googleapis.com/maps-api-v3/api/js/66/2d/places.js → 200 (61ms, 91780B)
[2026-08-27T23:34:44.247Z] GET https://maps.googleapis.com/maps-api-v3/api/js/66/2d/onion.js → 200 (45ms, 9416B)
[2026-08-27T23:34:44.247Z] GET https://maps.googleapis.com/maps-api-v3/api/js/66/2d/search_impl.js → 200 (45ms, 1348B)
[2026-08-27T23:34:49.748Z] GET https://maps.gstatic.com/mapfiles/openhand_8_8.cur → 200 (100ms, 692B)
[2026-08-27T23:34:49.762Z] GET https://maps.googleapis.com/maps-api-v3/api/js/66/2d/log.js → 200 (88ms, 10375B)
[2026-08-27T23:34:49.857Z] POST https://maps.googleapis.com/$rpc/google.internal.maps.mapsjs.v1.MapsJsInternalService/GetViewportInfo → pending (?ms, ?B)
